Token,Annotation
Abstract,0
Background:,0
The,0
coronavirus,P-Condition
disease,P-Condition
2019,P-Condition
(COVID-19),P-Condition
may,0
aggravate,0
workplace,0
conditions,0
that,0
impact,O-Mental
health-care,O-Mental
workers’,O-Mental
mental,O-Mental
health.,O-Mental
"However,",0
it,0
can,0
also,0
place,0
other,O-Mental
stresses,O-Mental
on,O-Mental
work-,O-Mental
ers,O-Mental
outside,O-Mental
of,O-Mental
their,O-Mental
work.,O-Mental
This,0
study,0
determines,0
the,0
effect,0
of,0
COVID-19,P-Condition
on,0
symptoms,0
of,0
negative,O-Mental
and,O-Mental
positive,O-Mental
mental,O-Mental
health,O-Mental
and,O-Mental
the,O-Mental
workforce’s,O-Mental
experience,0
with,0
various,I-Psychological
sources,I-Psychological
of,I-Psychological
support.,I-Psychological
Effect,0
modification,0
by,0
demographic,0
variables,0
was,0
also,0
studied.,0
Methods:,0
A,0
cross-sectional,I-Educational
survey,I-Educational
"study,",I-Educational
conducted,0
between,0
2,0
April,0
and,0
4,0
May,0
2020,0
(two,0
"waves),",0
led,0
to,0
a,0
convenience,P-Sample size
sample,P-Sample size
of,P-Sample size
4509,P-Sample size
health-care,P-Sample size
workers,P-Sample size
in,P-Sample size
Flanders,P-Sample size
"(Belgium),",P-Sample size
including,P-Sample size
paramedics,P-Sample size
"(40.6%),",P-Sample size
nurses,P-Sample size
"(33.4%),",P-Sample size
doctors,P-Sample size
(13.4%),P-Sample size
and,P-Sample size
management,P-Sample size
staff,P-Sample size
(12.2%).,P-Sample size
About,0
three,P-Sample size
in,P-Sample size
four,P-Sample size
were,P-Sample size
employed,P-Sample size
in,P-Sample size
university,P-Sample size
and,P-Sample size
acute,P-Sample size
hospitals,P-Sample size
"(29.6%),",P-Sample size
primary,P-Sample size
care,P-Sample size
practices,P-Sample size
"(25.7%),",P-Sample size
residential,P-Sample size
care,P-Sample size
centers,P-Sample size
(21.3%),P-Sample size
or,P-Sample size
care,P-Sample size
sites,P-Sample size
for,P-Sample size
disabled,P-Sample size
and,P-Sample size
mental,P-Sample size
health,P-Sample size
care.,P-Sample size
In,0
each,0
of,0
the,0
two,0
"waves,",0
participants,0
were,0
asked,0
how,0
frequently,0
(on,0
a,0
scale,0
of,0
0–10),0
they,0
experienced,0
positive,0
and,0
negative,0
mental,O-Mental
health,O-Mental
symptoms,O-Mental
during,0
normal,0
circumstances,0
and,0
during,0
last,0
"week,",0
referred,0
to,0
as,0
before,0
and,0
during,0
"COVID-19,",0
respectively.,0
These,0
symptoms,0
were,0
"stress,",P-Condition
"hypervigilance,",P-Condition
"fatigue,",P-Condition
difficulty,P-Condition
"sleeping,",P-Condition
unable,P-Condition
to,P-Condition
"relax,",P-Condition
"fear,",P-Condition
irregular,P-Condition
"lifestyle,",P-Condition
"flashback,",P-Condition
difficulty,P-Condition
"concentrating,",P-Condition
feel-,P-Condition
ing,P-Condition
unhappy,P-Condition
and,P-Condition
"dejected,",P-Condition
failing,P-Condition
to,P-Condition
recognize,P-Condition
their,P-Condition
own,P-Condition
emotional,P-Condition
"response,",P-Condition
doubting,P-Condition
knowledge,P-Condition
and,P-Condition
skills,P-Condition
and,P-Condition
feeling,P-Condition
uncomfortable,P-Condition
within,P-Condition
the,P-Condition
team.,P-Condition
Associations,0
between,0
COVID-19,P-Condition
and,0
men-,P-Condition
tal,P-Condition
health,P-Condition
symptoms,P-Condition
were,0
estimated,0
by,0
cumulative,I-Educational
logit,I-Educational
models,I-Educational
and,0
reported,0
as,0
odds,0
ratios.,0
The,0
needed,0
support,0
was,0
our,0
secondary,0
outcome,0
and,0
was,0
reported,0
as,0
the,0
degree,0
to,0
which,0
health-care,0
workers,0
relied,0
on,0
sources,0
of,0
support,0
and,0
how,0
they,0
experienced,0
them.,0
Results:,0
All,0
symptoms,0
were,0
significantly,O-Adverse effects
more,O-Adverse effects
pronounced,O-Adverse effects
during,O-Adverse effects
versus,O-Adverse effects
before,O-Adverse effects
COVID-19.,O-Adverse effects
For,0
"hypervigilance,",O-Adverse effects
there,O-Adverse effects
was,O-Adverse effects
a,O-Adverse effects
12-fold,O-Adverse effects
odds,O-Adverse effects
(odds,0
ratio,0
"12.24,",0
95%,0
confidence,0
interval,0
11.11–13.49),0
during,O-Adverse effects
versus,O-Adverse effects
before,O-Adverse effects
COVID-19.,O-Adverse effects
Positive,0
professional,0
symptoms,0
such,0
as,0
the,0
feeling,0
that,0
one,0
can,0
make,0
a,0
difference,0
were,0
less,0
frequently,0
experienced.,0
The,O-Other
association,O-Other
between,O-Other
COVID-19,O-Other
and,O-Other
men-,O-Other
tal,O-Other
health,O-Other
was,O-Other
generally,O-Other
strongest,O-Other
for,0
the,0
age,P-Age
group,P-Age
30–49,P-Age
"years,",P-Age
"females,",P-Sex
nurses,0
and,0
residential,0
care,0
centers.,0
Health-care,0
workers,0
reported,0
to,0
rely,0
on,0
support,I-Psychological
from,I-Psychological
relatives,I-Psychological
and,I-Psychological
peers.,I-Psychological
A,0
con-,0
siderable,0
"proportion,",0
"respectively,",0
18,P-Sample size
and,P-Sample size
"27%,",P-Sample size
reported,0
the,0
need,0
for,0
professional,I-Psychological
guidance,I-Psychological
from,I-Psychological
psychologists,I-Psychological
and,I-Psychological
more,I-Psychological
support,I-Psychological
from,I-Psychological
their,I-Psychological
leadership.,I-Psychological
Conclusions:,0
The,0
toll,0
of,0
the,0
crisis,0
has,0
been,0
heavy,0
on,0
health-care,0
workers.,0
Those,0
who,0
carry,0
leader-,0
ship,0
positions,0
at,0
an,0
organizational,0
or,0
system,0
level,0
should,0
take,0
this,0
opportunity,0
to,0
develop,0
targeted,0
strategies,0
to,0
mitigate,I-Other
key,I-Other
stressors,I-Other
of,I-Other
health-care,I-Other
workers’,I-Other
mental,I-Other
well-being.,I-Other
Introduction,0
Health-care,0
workers,0
are,0
applauded,0
as,0
heroes,0
for,0
their,0
diligence,0
and,0
commitment,0
in,0
providing,0
patient,0
care,0
during,0
the,0
COVID-19,P-Condition
pan-,P-Condition
demic.,P-Condition
Being,0
at,0
the,0
"frontline,",0
"however,",0
comes,0
with,0
a,0
price.,0
The,0
risk,P-Condition
of,P-Condition
anxiety,P-Condition
and,0
other,P-Condition
negative,P-Condition
mental,P-Condition
health,P-Condition
reactions,P-Condition
among,0
the,0
workforce,0
were,0
described,0
in,0
a,0
viewpoint,0
by,0
Shanafelt,0
et,0
al.,0
[1].,0
Monocentric,0
and,0
small,0
sample,0
studies,0
in,0
China,0
and,0
Singapore,0
have,0
described,0
the,0
psychological,0
impact,P-Condition
of,P-Condition
the,P-Condition
current,P-Condition
crisis,P-Condition
[2–4].,0
In,0
their,0
NEJM,0
(New,0
England,0
Journal,0
of,0
Medicine),0
"perspective,",0
Pfefferbaum,0
and,0
North,0
describe,0
that,0
‘health,0
care,0
systems,0
will,0
need,0
to,0
address,0
the,0
stress,0
on,0
individual,0
providers,0
and,0
on,0
general,0
operations,0
by,0
monitor-,0
ing,0
reactions,0
and,0
"performance,",0
altering,0
assignments,0
and,0
"schedules,",0
modifying,0
"expectations,",0
and,0
creating,0
mechanisms,0
to,0
offer,0
psychoso-,0
cial,I-Psychological
support,I-Psychological
as,0
needed’,0
[5].,0
The,0
"stressors,",0
as,0
a,0
result,0
of,0
"COVID-19,",0
on,0
individual,0
"level,",0
"team,",0
organization,0
and,0
"work–life,",0
have,0
an,0
impact,0
on,0
teams.,0
When,0
team,0
leaders,0
and,0
managers,0
do,I-Psychological
not,I-Psychological
react,I-Psychological
in,I-Psychological
an,I-Psychological
effec-,I-Psychological
tive,I-Psychological
"way,",I-Psychological
it,0
can,0
result,O-Other
in,O-Other
poor,O-Other
teamwork,O-Other
that,0
can,0
have,0
a,0
negative,O-Other
impact,O-Other
on,O-Other
quality,O-Other
of,O-Other
care,O-Other
and,O-Other
patient,O-Other
safety,O-Other
[6].,0
In,0
terms,0
of,0
absolute,0
deaths,0
and,O-Morality
case,O-Morality
fatality,O-Morality
"ratio,",O-Morality
Belgium,0
"is,",0
together,0
with,0
the,0
"UK,",0
France,0
and,0
"Italy,",0
among,0
the,0
most,0
severely,0
affected,0
European,0
countries,0
[7].,0
The,0
first,0
COVID-19-related,P-Condition
death,O-Morality
in,0
Belgium,0
was,0
on,0
10,0
March,0
2020,0
and,0
a,0
total,0
lockdown,0
was,0
set,0
from,0
18,0
March,0
2020,0
until,0
4,0
May,0
2020,0
[8].,0
The,0
prolonged,I-Other
exposure,I-Other
to,I-Other
severely,I-Other
ill,I-Other
"patients,",I-Other
the,I-Other
constant,I-Other
threat,I-Other
of,I-Other
personal,I-Other
protective,I-Other
equip-,I-Other
ment,I-Other
depletion,I-Other
and,I-Other
the,I-Other
lack,I-Other
of,I-Other
rapid,I-Other
testing,I-Other
for,I-Other
COVID-19,I-Other
among,I-Other
health-care,I-Other
workers,I-Other
in,I-Other
an,I-Other
already,I-Other
poorly,I-Other
staffed,I-Other
system,I-Other
made,0
Bel-,0
gium’s,0
leaders,0
worry,0
about,0
the,0
crisis,0
further,0
eroding,0
the,0
well-being,0
of,0
the,0
health,0
workforce.,0
To,0
support,0
the,0
government,0
in,0
launching,0
an,0
evidence-based,I-Other
resilience,I-Other
"plan,",I-Other
a,0
multi-stakeholder,0
consortium,0
including,0
health-care,0
"associations,",0
scientific,0
societies,0
and,0
universities,0
under,0
the,0
auspices,0
of,0
the,0
competent,0
authorities,0
launched,0
an,0
online,0
survey,0
to,0
follow,0
up,0
on,0
the,0
mental,0
health,0
and,0
wider,0
well-being,0
of,0
the,0
health,0
workforce,0
[9].,0
The,0
aim,0
was,0
to,0
gain,0
more,0
insight,0
on,0
the,0
effect,0
of,0
COVID-19,0
on,0
symptoms,0
of,0
negative,0
and,0
positive,0
mental,0
health,0
as,0
well,0
as,0
on,0
the,0
workforce’s,0
use,0
of,0
