Token,Annotation
Abstract,0
Background:,0
Glaucoma,I-Surgical
surgery,I-Surgical
is,0
the,0
most,0
effective,0
means,0
for,0
lowering,I-Other
intraocular,I-Other
pressure,I-Other
by,0
providing,I-Other
a,I-Other
new,I-Other
route,I-Other
for,I-Other
fluid,I-Other
to,I-Other
exit,I-Other
the,I-Other
eye.,I-Other
This,0
new,0
pathway,0
is,0
through,0
the,0
sclera,I-Other
of,I-Other
the,I-Other
eye,I-Other
into,I-Other
sub-conjunctival,I-Other
"tissue,",I-Other
where,0
a,0
fluid,P-Condition
filled,P-Condition
bleb,P-Condition
typically,0
forms,0
under,0
the,0
conjunctiva.,0
The,0
long-term,0
success,0
of,0
the,0
procedure,0
relies,0
on,0
the,0
capacity,0
of,0
the,0
sub-conjunctival,0
tissue,0
to,0
absorb,0
the,0
excess,0
fluid,0
presented,0
to,0
"it,",0
without,0
generating,I-Surgical
excessive,I-Surgical
scar,I-Surgical
tissue,I-Surgical
during,0
tissue,0
remodeling,0
that,0
will,0
shut-down,0
fluid,0
flow.,0
The,0
role,P-Condition
of,P-Condition
inflammatory,P-Condition
factors,P-Condition
that,0
promote,0
scarring,0
are,0
well,0
researched,0
yet,0
little,0
is,0
known,0
regarding,0
the,0
impact,O-Other
of,O-Other
physical,O-Other
forces,O-Other
on,O-Other
the,O-Other
healing,O-Other
response.,O-Other
Methodology:,0
To,0
help,0
elucidate,0
the,0
interplay,0
of,0
physical,0
factors,0
controlling,0
the,0
distribution,P-Condition
and,P-Condition
absorption,P-Condition
of,P-Condition
aqueous,P-Condition
humor,P-Condition
in,P-Condition
sub-conjunctival,P-Condition
"tissue,",P-Condition
and,0
tissue,P-Condition
"remodeling,",P-Condition
we,0
have,0
developed,0
a,0
computational,I-Educational
model,I-Educational
of,I-Educational
fluid,I-Educational
production,I-Educational
in,I-Educational
the,I-Educational
eye,I-Educational
and,0
removal,I-Educational
via,I-Educational
the,I-Educational
trabecular/uveoscleral,I-Educational
pathways,I-Educational
and,0
the,I-Educational
surgical,I-Educational
pathway.,I-Educational
This,0
surgical,0
pathway,0
is,0
then,0
linked,0
to,0
a,0
porous,I-Educational
media,I-Educational
computational,I-Educational
model,I-Educational
of,I-Educational
a,I-Educational
fluid,I-Educational
bleb,I-Educational
positioned,I-Educational
within,I-Educational
the,I-Educational
sub-conjunctival,I-Educational
tissue.,I-Educational
The,0
computational,I-Educational
analysis,I-Educational
is,0
centered,0
on,0
typical,0
functioning,0
bleb,0
geometry,0
found,0
in,0
a,0
human,0
eye,0
following,0
glaucoma,I-Surgical
surgery.,I-Surgical
A,0
parametric,0
study,0
is,0
conducted,0
of,0
changes,0
in,0
fluid,P-Condition
absorption,P-Condition
by,0
the,0
sub-conjunctival,0
blood,0
"vessels,",0
changes,P-Condition
in,P-Condition
hydraulic,P-Condition
conductivity,P-Condition
due,P-Condition
to,P-Condition
"scarring,",P-Condition
and,0
changes,P-Condition
in,P-Condition
bleb,P-Condition
size,P-Condition
and,P-Condition
"shape,",P-Condition
and,0
eye,P-Condition
outflow,P-Condition
facility.,P-Condition
Conclusions:,0
This,0
study,0
is,0
motivated,0
by,0
the,0
fact,0
that,0
some,0
blebs,0
are,0
known,0
to,0
have,0
‘successful’,0
characteristics,0
that,0
are,0
generally,0
described,0
by,0
clinicians,0
as,0
being,0
"low,",0
diffuse,0
and,0
large,0
without,0
the,0
formation,0
of,0
a,0
distinct,0
sub-conjunctival,0
encapsulation.,0
The,0
model,0
predictions,O-Other
are,O-Other
shown,O-Other
to,O-Other
accord,O-Other
with,O-Other
clinical,O-Other
observations,O-Other
in,O-Other
a,O-Other
number,O-Other
of,O-Other
key,O-Other
"ways,",O-Other
specifically,O-Other
the,O-Other
variation,O-Other
of,O-Other
intra-ocular,O-Other
pressure,O-Other
with,O-Other
bleb,O-Other
size,O-Other
and,O-Other
shape,O-Other
and,O-Other
the,O-Other
correspondence,O-Other
between,O-Other
sites,O-Other
of,O-Other
predicted,O-Other
maximum,O-Other
interstitial,O-Other
fluid,O-Other
pressure,O-Other
and,O-Other
key,O-Other
features,O-Other
observed,O-Other
in,O-Other
"blebs,",O-Other
which,O-Other
gives,O-Other
validity,O-Other
to,O-Other
the,O-Other
model,O-Other
described,O-Other
here.,O-Other
This,0
model,0
should,0
contribute,O-Other
to,O-Other
a,O-Other
more,O-Other
complete,O-Other
explanation,O-Other
of,O-Other
the,O-Other
physical,O-Other
processes,O-Other
behind,O-Other
successful,O-Other
bleb,O-Other
characteristics,O-Other
and,O-Other
provide,O-Other
a,O-Other
new,O-Other
basis,O-Other
for,O-Other
clinically,O-Other
grading,O-Other
blebs.,O-Other
Introduction,0
Glaucoma,P-Condition
is,0
the,0
World’s,0
second,0
leading,0
cause,0
of,0
"blindness,",P-Condition
with,0
advancing,P-Age
age,P-Age
and,0
elevated,P-Condition
intraocular,P-Condition
pressure,P-Condition
(IOP),P-Condition
being,0
the,0
major,0
risk,0
factors,0
that,0
predispose,0
to,0
optic,P-Condition
nerve,P-Condition
degeneration.,P-Condition
Glaucoma,I-Surgical
surgery,I-Surgical
is,0
the,0
most,0
effective,0
means,0
for,0
lowering,O-Physical
intraocular,O-Physical
pressure,O-Physical
typically,O-Physical
to,O-Physical
between,O-Physical
10,O-Physical
and,O-Physical
15,O-Physical
mmHg,O-Physical
[1].,0
The,0
most,0
common,0
surgical,I-Surgical
approach,I-Surgical
is,0
to,0
drain,I-Surgical
aqueous,I-Surgical
humor,I-Surgical
to,I-Surgical
surrounding,I-Surgical
eye,I-Surgical
tissue,I-Surgical
"(sub-conjunctiva),",I-Surgical
where,I-Surgical
it,I-Surgical
can,I-Surgical
then,I-Surgical
be,I-Surgical
absorbed,I-Surgical
by,I-Surgical
capillaries,I-Surgical
(See,0
Figure,0
1).,0
The,0
sub-conjunctiva,0
is,0
a,0
thin,0
layer,0
of,0
tissue,0
between,0
the,0
sclera,0
(a,0
tough,0
fibrous,0
opaque,0
tissue,0
sometimes,0
known,0
as,0
the,0
white,0
of,0
the,0
eye),0
and,0
the,0
overlying,O-Other
conjunctiva,0
(a,0
clear,0
mucous,0
membrane,0
which,0
extends,0
to,0
cover,0
the,0
underside,0
of,0
the,0
eyelids,0
to,0
acts,0
as,0
a,0
lubricating,0
layer,0
and,0
an,0
immune,0
barrier).,0
That,0
"is,",0
a,0
new,0
avenue,0
for,0
fluid,I-Other
removal,I-Other
from,I-Other
the,I-Other
eye,I-Other
is,0
created,0
through,0
the,0
sclera,0
and,0
into,0
a,0
tissue,0
not,0
normally,0
exposed,0
to,0
eye,0
fluid,0
"pressure,",0
fluid,0
shear,0
or,0
tissue,0
swelling.,0
A,0
fluid,0
bleb,0
generally,0
forms,0
in,0
this,0
tissue,0
just,0
outside,0
the,0
point,0
of,0
fluid,0
drainage,0
through,0
the,0
sclera,0
from,0
the,0
anterior,0
chamber,0
of,0
the,0
eye.,0
The,0
fluid,0
bleb,0
is,0
predominantly,0
a,0
fluid,0
filled,0
cavity,0
formed,0
when,0
the,0
tissue,0
swells,0
or,0
is,0
displaced,0
by,0
excess,0
fluid,P-Condition
"accumulation,",P-Condition
although,0
the,0
bleb,0
may,0
have,0
some,0
internal,0
structure.,0
Typically,0
fibrous,0
tissue,0
(or,0
scarring),0
"occurs,",0
which,0
encapsulates,0
the,0
fluid,0
bleb,0
(and,0
here,0
is,0
referred,0
to,0
as,0
the,0
bleb,0
capsule),0
forming,0
a,0
scar,0
layer.,0
The,0
geometry,0
of,0
this,0
resulting,0
fluid,0
bleb,0
is,0
thought,0
to,0
be,0
a,0
significant,0
determinant,0
of,0
the,0
efficacy,0
of,0
fluid,I-Surgical
removal,I-Surgical
by,I-Surgical
the,I-Surgical
sub-,I-Surgical
"conjunctiva,",I-Surgical
and,0
so,0
success,0
of,0
the,0
glaucoma,I-Surgical
surgery.,I-Surgical
Consequently,0
bleb,0
grading,0
systems,0
have,0
been,0
developed,0
to,0
predict,0
the,0
long,0
term,0
success,0
of,0
an,0
individual,0
procedure,0
[2].,0
"Further,",0
various,0
glaucoma,0
drainage,0
implants,I-Educational
have,I-Educational
been,I-Educational
developed,I-Educational
in,0
an,0
effort,0
to,0
dictate,0
bleb,0
formation,0
and,0
assist,I-Other
fluid,I-Other
dispersal,I-Other
in,I-Other
the,I-Other
sub-conjunctival,I-Other
tissue,I-Other
[3].,0
Despite,0
much,0
being,0
known,0
of,0
the,0
inflammatory,0
factors,0
that,0
contribute,0
to,0
increased,0
subconjunctival,0
scar,0
"formation,",0
the,0
physical,0
principles,0
linking,0
bleb,0
properties,0
to,0
stable,0
intra-ocular,0
pressure,0
and,0
surgical,0
success,0
have,0
not,0
be,0
clearly,0
"elucidated,",0
and,0
implant,0
design,0
has,0
mostly,0
lacked,0
a,0
rational,0
design,0
foundation.,0
Failure,0
of,0
glaucoma,0
surgery,0
is,0
a,0
very,0
significant,0
health,0
and,0
surgical,0
problem,0
[4],0
and,0
the,0
need,0
for,0
a,0
robust,0
and,0
cost,0
effective,0
means,0
for,0
improving,0
surgical,0
outcomes,0
is,0
clear.,0
This,0
is,0
particularly,0
true,0
in,0
many,0
developing,0
countries,0
"where,",0
for,0
logistic,0
"reasons,",0
glaucoma,I-Surgical
surgery,I-Surgical
is,0
the,0
only,0
viable,0
therapeutic,I-Other
option.,I-Other
Unfortu-,0
nately,0
long-term,O-Other
success,O-Other
rates,O-Other
of,O-Other
glaucoma,O-Other
filtration,O-Other
surgery,O-Other
are,O-Other
generally,O-Other
poor.,O-Other
A,0
recent,0
review,0
of,0
5,0
commonly,0
used,0
drainage,0
implants,0
reported,0
that,0
surgical,0
failure,0
occurred,0
in,0
",25%",0
of,0
cases,0
"[1],",0
where,0
failure,0
is,0
defined,0
as,0
the,0
inability,0
of,0
the,0
bleb,0
or,0
capsule,0
around,0
a,0
drainage,0
